trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_ICE,09:00:00,09:00:00,CORR_A_PLAT,1
T_ICE,10:00:00,10:00:00,CORR_B_PLAT,2
T_RJ,09:00:00,09:00:00,CORR_A_PLAT,1
T_RJ,11:00:00,11:00:00,OTHER_C_PLAT,2
T_NJ,09:00:00,09:00:00,CORR_A_PLAT,1
T_NJ,12:00:00,12:00:00,OTHER_C_PLAT,2
T_RE,08:00:00,08:00:00,CORR_B_PLAT,1
T_RE,09:00:00,09:00:00,OTHER_C_PLAT,2
T_FAR,07:00:00,07:00:00,OTHER_C_PLAT,1
T_FAR,08:00:00,08:00:00,OTHER_D_PLAT,2
T_ICE_WEEKEND,09:00:00,09:00:00,CORR_A_PLAT,1
T_ICE_WEEKEND,10:00:00,10:00:00,CORR_B_PLAT,2
